"B [mm]","L [mm]","R1 [mm]","R2 [mm]","Freq [GHz]","dB(S(1,1)) []"
16,15.5,5.6,5.6,5.5,-1.81978054514067
16,15.5,5.6,5.6,5.52,-1.97469244243304
16,15.5,5.6,5.6,5.54,-2.15414357648775
16,15.5,5.6,5.6,5.56,-2.36302787029177
16,15.5,5.6,5.6,5.58,-2.60746047121437
16,15.5,5.6,5.6,5.6,-2.8951375592688
16,15.5,5.6,5.6,5.62,-3.23581868746067
16,15.5,5.6,5.6,5.64,-3.64198128323161
16,15.5,5.6,5.6,5.66,-4.12972451683183
16,15.5,5.6,5.6,5.68,-4.72005151315632
16,15.5,5.6,5.6,5.7,-5.44076439810422
16,15.5,5.6,5.6,5.72,-6.32943695366545
16,15.5,5.6,5.6,5.74,-7.43846161111821
16,15.5,5.6,5.6,5.76,-8.84446723768526
16,15.5,5.6,5.6,5.78,-10.6677994044075
16,15.5,5.6,5.6,5.8,-13.1172588873889
16,15.5,5.6,5.6,5.82,-16.5997353885401
16,15.5,5.6,5.6,5.84,-21.8230514936651
16,15.5,5.6,5.6,5.86,-24.7105219688627
16,15.5,5.6,5.6,5.88,-19.2947813782229
16,15.5,5.6,5.6,5.9,-15.1830181807923
16,15.5,5.6,5.6,5.92,-12.4325853621612
16,15.5,5.6,5.6,5.94,-10.4556289450989
16,15.5,5.6,5.6,5.96,-8.95929840193724
16,15.5,5.6,5.6,5.98,-7.78682203784828
16,15.5,5.6,5.6,6,-6.8454059433641
16,15.5,5.6,5.6,6.02,-6.07570387399678
16,15.5,5.6,5.6,6.04,-5.43751477753382
16,15.5,5.6,5.6,6.06,-4.90239876005749
16,15.5,5.6,5.6,6.08,-4.44954925308974
16,15.5,5.6,5.6,6.1,-4.06333429746493
16,15.5,5.6,5.6,6.12,-3.7317555330666
16,15.5,5.6,5.6,6.14,-3.44544127297669
16,15.5,5.6,5.6,6.16,-3.1969651868084
16,15.5,5.6,5.6,6.18,-2.98037135464643
16,15.5,5.6,5.6,6.2,-2.79083455562499
16,15.5,5.6,5.6,6.22,-2.62441181465791
16,15.5,5.6,5.6,6.24,-2.4778571637749
16,15.5,5.6,5.6,6.26,-2.34848122921419
16,15.5,5.6,5.6,6.28,-2.23404327456263
16,15.5,5.6,5.6,6.3,-2.132667181272
16,15.5,5.6,5.6,6.32,-2.0427753720969
16,15.5,5.6,5.6,6.34,-1.9630363757812
16,15.5,5.6,5.6,6.36,-1.89232289127483
16,15.5,5.6,5.6,6.38,-1.82967802079856
16,15.5,5.6,5.6,6.4,-1.7742879187961
16,15.5,5.6,5.6,6.42,-1.72545952236502
16,15.5,5.6,5.6,6.44,-1.68260233663907
16,15.5,5.6,5.6,6.46,-1.64521347815063
16,15.5,5.6,5.6,6.48,-1.6128653524153
16,15.5,5.6,5.6,6.5,-1.58519547406012
16,15.5,5.6,5.9,5.5,-1.8940036840056
16,15.5,5.6,5.9,5.52,-2.05911034847408
16,15.5,5.6,5.9,5.54,-2.25049897981846
16,15.5,5.6,5.9,5.56,-2.47342894252648
16,15.5,5.6,5.9,5.58,-2.73446969453095
16,15.5,5.6,5.9,5.6,-3.04188522039686
16,15.5,5.6,5.9,5.62,-3.40614919253344
16,15.5,5.6,5.9,5.64,-3.84064453888704
